動画URL,サムネイル,いいね数,説明文,楽曲,楽曲URL,文字起こし,文字起こし修正
https://www.tiktok.com/@hensaikitsui/video/7333559996308868359,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oM8fMAogAoDodQQLmjW8DCAJiExBuiIfjrMeIz?lk3s=81f88b70&x-expires=1749106800&x-signature=W0Fvj6JHPUYkDuNP6O1wVepHYIc%3D&shp=81f88b70&shcp=-,9456,しんどすぎません？ #借金　#返済　#猫ミーム,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7333560046443563777,,
https://www.tiktok.com/@hensaikitsui/video/7293849968589393159,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/osXG5AfbQOQBC6R5EFgFInFE7qx7YlxeDTBPBy?lk3s=81f88b70&x-expires=1749106800&x-signature=m5drTuUjkDiyBfAZunGxoH4Bn2g%3D&shp=81f88b70&shcp=-,4564,借金男の雑学 #社長　#借金返済 #詐欺師撲滅 #自己破産　#多重債務者　#雑学,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7293850009308236545,"借金が6億円になると弁護士からモーニングコールの鬼伝が来る
詐欺に遭うと普通の給料じゃ返せないので高い稼ぎを求めてよりでかい詐欺に遭う
20代で借金してる人の割合は全世帯のおよそ40%",
https://www.tiktok.com/@hensaikitsui/video/7345814559657053447,https://p77-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/4c12c95fc22d48a49e30badfeddce975_1710330738?lk3s=81f88b70&x-expires=1749106800&x-signature=bJRqft5OQ%2FIyYs7mp2eGGiOwTLo%3D&shp=81f88b70&shcp=-,3284,質問あったらコメントして！ #社長 #おすすめ #借金 #ブラック #ローン,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7345814594488404737,あるよそれは独自審査やってる消費者金融ですね独自審査やってる消費者金融?前提としてそもそもどのくらいブラックかにもよるんだけどブラックだと基本アコムとかアイフルとかプロミスとか全然借りられないんだよねそういった時は中小規模の消費者金融が独自の審査で融資したりもしてるから安定収入があったり就労してたりそういったことを条件に貸してくれる業者も存在はしますちなみに消費者金融の参考はこちら借金ある人はコメントで額を教えて,
https://www.tiktok.com/@hensaikitsui/video/7369932487721602322,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/f430513bc0634a108769f22b28e2dd15_1715946133?lk3s=81f88b70&x-expires=1749106800&x-signature=%2B8J5iuhOodeS8%2BSBXiOR10I%2BdA8%3D&shp=81f88b70&shcp=-,2748,,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7369932517975067408,携帯帯のTCAとテレカJCBなどのクレカCIC水保銀行などの銀行KSCプロミスなどの消費者金融JICC色々あるけど基本的に借金系調べたい時はCICって風に覚えておくといいよCICの見方が分かんない人はコメントして,
https://www.tiktok.com/@hensaikitsui/video/7345065487379795218,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/ociuJD7rIAUhqFDEfB6EXDmZqErRgkF7luB88f?lk3s=81f88b70&x-expires=1749106800&x-signature=7BNEPI6%2B3HH8BBo1MiiIMSIsvks%3D&shp=81f88b70&shcp=-,2654,みんな知ってた？ #社長 #おすすめ #借金 #ブラック,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7345065567932074754,"あるよ3つあるんだけどまず1払えなくなって5年経ったら情報開示を行うネットでCIGって検索してもらって自分の信用情報を開示しますでどこがブラックなのか分かるんで弁護士さんを使って時効の延用という手続きをしますだいたい5万円くらいで弁護士さんがやってくれますでもこれ消えるまでに数ヶ月かかったりはします

ただし人によって裁判などで期間が延びて時効の栄養がまだできないって場合もあるんでこれは弁護士さんに相談してください2.移動が消されるまで待つ移動状況によって期間が違うから自分の状況を基にどのぐらいで消されるかをこうやってチェックしてください3.財務整理を行い返済期間を早める借金の利息や元金をカットしたり減額したり一括請求を長期の分割払いに変更できる手続きのことで借金の返済負担を大幅に減らせます僕的には時効の栄養が一番おすすめです借金で困ってる人はDMして",
https://www.tiktok.com/@hensaikitsui/video/7258226771558927624,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/ea2e0fb7a60949a7b9dab777679ec7ef_1689937648?lk3s=81f88b70&x-expires=1749106800&x-signature=%2Fkq338Z7nAIYlOInh%2FT18XAiwDk%3D&shp=81f88b70&shcp=-,2255,詐欺5億あった時の　#なぁぜなぁぜ #詐欺師撲滅　#社長　 #悪徳　#倒産　#借金,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7258226808121019137,"2000万以上詐欺に遭ったのに警察に行ったら逮捕した犯人から1万くらいしか返されないのなぜなぜ詐欺に遭いました訴えてくださいって弁護士に言ったら弁護士費用100万以上もかかるのなぜなぜ5億の詐欺に遭ったのに2年間警察が動かないのなぜなぜ
",
https://www.tiktok.com/@hensaikitsui/video/7226312134030920962,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/o4oAJBUAhI1zpFOFBXuKJLtIB0AfJBhywE0IY2~tplv-dmt-logom:tos-alisg-pv-0037/6d7ce02c37c74a46b2f48e00c4c13e84.image?lk3s=81f88b70&x-expires=1749106800&x-signature=doWfR4oFhwApxagRDphxtr4Tnkw%3D&shp=81f88b70&shcp=-,2240,,"Kirby Gourmet Race Theme (From ""Kirby Super Star"") - Video Game Players",https://www.tiktok.com/music/Kirby-Gourmet-Race-Theme-From-Kirby-Super-Star-6931167624155891714,"6億円の詐欺に遭った25歳詐欺師の吉尾くん投資詐欺に遭い5億持って飛ばれたがさらに大変な目に遭うことになる別の先輩からさらに4000万円近く追加で詐欺られたのだいや騙されすぎだろうと自分でも思う確かに俺は騙されまくってるただし見てる人の中にはきっと俺みたいな人もいると思うので同じ目に合わないためにも経緯を話そうと思う詐欺の名前は共同経営詐欺海外在住の日本人にお金を持ち逃げされたのだ当時6億円の返済のためにすぐに利益の出る事業を立ち上げなければいけなかった

そんな中、救世主が現れる。俺が20歳からお世話になっている先輩が一緒に事業をしようと言ってくれたのだ。それはフィリピン国内で時計屋を売買する仕事で、セレブ層に高級な時計を売って、その利益を得るというものだった。委託販売といって、向こうのシチアに在庫を預けて利益が出る仕組みだった。もう始めることができるという話を聞き、周りの人からお金を集めた。約4000万円。フィリピンで時計屋をやろうという話に全額突っ込んだ。しかし3ヶ月後、先輩と全く連絡が取れなくなったのだ。最初は先輩に何かあ

昨日連絡してるけどそう言われた俺はその瞬間に先輩が確信案で騙されたことを知った5年間一緒に仕事をしてきて信用していた人だった一番きつい時にお金をさらに取られてしまったその先輩はフィリピンにいて海外だと日本の警察も動けないので泣き寝入りしかなかった吉尾くんの詐欺に遭った後つけ込むように他にも色々な詐欺に遭ったので次回公開する次回ヤバい詐欺トップ3",
https://www.tiktok.com/@hensaikitsui/video/7335415675034373383,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oQh3RM5ITVINmsbLAfEQjokL7efJjWIoDGSCAO?lk3s=81f88b70&x-expires=1749106800&x-signature=VozZTlY%2BexeNhU%2BaAjZNHrsff%2FY%3D&shp=81f88b70&shcp=-,2122,質問ある人コメントして！ #ブラックリスト　#クレジットカード　#滞納　#借金返済,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7335415798817377025,"ブラックな人でもクレカ作れる方法あるんですか?あるよ!これちなみにネットにマジ載ってない情報なんで絶対保存しといてそれはデポジットカードってやつデポジットカード?これはデビットカードとかじゃなくてちゃんとクレジットカードの機能を持ってるカードのこと保証金をあらかじめ入金することでその金額分のクレジットカードを発行してくれますあとその中でも法人しか作れないんですけどアップサイダーっていうカードがあってこれ口座を連携しておくと口座の残高で予診の審査をしてくれるんですよねこれブラックとか関係ないんですよ

でこれちなみに僕は借りたお金500万円を口座に入金して申請したら30万円の枠ができたんでこれ絶対やった方がいいですでこれ実際僕やって本当ブラックなんですけどカードマジ作れてますで最近売上がパンって入った時に再度枠上げの申請したら400万円までくれか切れるようになってなんでブラックな人マジでおすすめですやり方質問あったらコメントして",
https://www.tiktok.com/@hensaikitsui/video/7304239918719454472,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/df975cb161c74effa4e78693c697bfd3_1700650887?lk3s=81f88b70&x-expires=1749106800&x-signature=c%2BEMtOodCouGHCdFw3ks7De7chM%3D&shp=81f88b70&shcp=-,2034,知ってた？ #社長　#借金返済 #詐欺師撲滅 #自己破産　#多重債務者　#雑学,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7304239949849676545,"借金が600円になると毎日弁護士と電話することになる債権者が200人以上いるとカレンダーの予定が謝罪で埋まる借金すると弁護士から何も経過してないのに経過報告書を書かされる

",
https://www.tiktok.com/@hensaikitsui/video/7351739600102100242,https://p77-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oUEGICBRRoUBA7Bm1iAzvWDaLe8EfiXgQPpDBI?lk3s=81f88b70&x-expires=1749106800&x-signature=SWxjGfVbI8bWnfz66rJH%2BQV4uck%3D&shp=81f88b70&shcp=-,1963,全問正解できた？ #社長 #おすすめ #借金 #ビジネスマン #返済 #自己破産　#ブラック,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7351739629060098833,お金欲しい俺んとこで働きな,
